Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,
MENENGAI 1KG BAR,2708,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
WHITE WASH BAR SMALL  800G BAR,2710,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
WHITE WASH  200G TAB,2712,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
WHITE WASH BAR BIG 800G BAR,2714,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
WHITE STAR 800G,2716,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
SUNLIGHT BAR  700G BAR,2717,code128,,,,,,107,120,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
GEISHA   225G,2719,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
GEISHA  100G,2721,code128,,,,,,1274,1440,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
SUNLIGHT  20G,2725,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
SUNLIGHT 40G,2727,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
SUNLIGHT  100G,2730,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
SUNLIGHT  200G,2733,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
SUNLIGHT  500G,2736,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
SUNLIGHT  1KG,2739,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
SUNLIGHT TABLET 50G,2742,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
SUNLIGHT TABLET 80G,2745,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
SUNLIGHT TABLET  175G,2747,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
SAWA SOAP  250G PC,2749,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
SAWA SOAP  125G,2751,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
FLAMINGO SOAP  90G,2753,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
FLAMINGO SOAP  215G,2755,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
POPCO SOAP  600G,2757,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
ARIEL 45G*12,2759,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
ARIEL 100G*12,2762,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
ARIEL  200G*12,2765,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
ARIEL 500G,2768,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
