Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
HIGHLAND PINEAPPLE 1 LTR*,,,,,,,,,,,,,,,,,,,,,
MINUTE MAID JUICE  500ML,,,,,,,,,,,,,,,,,,,,,
QUENCHER RTD  200ML,,,,,,,,,,,,,,,,,,,,,
RIBENA BOTTLED 300ML,,,,,,,,,,,,,,,,,,,,,
RIBENA BOTTLED  600ML,,,,,,,,,,,,,,,,,,,,,
TREE TOP DTT 2 LTR,,,,,,,,,,,,,,,,,,,,,
TREE TOP DTT 1 LTR,,,,,,,,,,,,,,,,,,,,,
TREE TOP RTD  330ML,,,,,,,,,,,,,,,,,,,,,
TREE TOP RTD  330ML,,,,,,,,,,,,,,,,,,,,,
TUNDA JUCE  300ML,,,,,,,,,,,,,,,,,,,,,
U FRESH BIG  80G,,,,,,,,,,,,,,,,,,,,,
U FRESH SMALL  80G,,,,,,,,,,,,,,,,,,,,,
BAAZI BAG,,,,,,,,,,,,,,,,,,,,,
KAMANDE BAG,,,,,,,,,,,,,,,,,,,,,
KUNDE,,,,,,,,,,,,,,,,,,,,,
MWITEMANIA,,,,,,,,,,,,,,,,,,,,,
NDENGU MAKUENI,,,,,,,,,,,,,,,,,,,,,
NDENGU NYLON,,,,,,,,,,,,,,,,,,,,,
NJAHI,,,,,,,,,,,,,,,,,,,,,
NYAYO BEANS,,,,,,,,,,,,,,,,,,,,,
ROSE COCO BEANS,,,,,,,,,,,,,,,,,,,,,
WAIRIMU BEANS,,,,,,,,,,,,,,,,,,,,,
WESTERN NDENGU,,,,,,,,,,,,,,,,,,,,,
YELLOW BEANS,,,,,,,,,,,,,,,,,,,,,
DAIMA MILK 500ML,,,,,,,,,,,,,,,,,,,,,
DAIMA YOGHURT 150G,,,,,,,,,,,,,,,,,,,,,
DAIMA YOGHURT 200G,,,,,,,,,,,,,,,,,,,,,
DAIMA YOGHURT 12*250G,,,,,,,,,,,,,,,,,,,,,
DAIMA YOGHURT 500G,,,,,,,,,,,,,,,,,,,,,
FRESHA MILK 500ML,,,,,,,,,,,,,,,,,,,,,
FRESHMARK YOGHURT  100ML,,,,,,,,,,,,,,,,,,,,,
FRESHMARK YOGHURT 150ML,,,,,,,,,,,,,,,,,,,,,
FRESHMARK YOGHURT 250ML,,,,,,,,,,,,,,,,,,,,,
FRESHMARK YOGHURT  500ML,,,,,,,,,,,,,,,,,,,,,
MT FRESH YOGHURT  150ML,,,,,,,,,,,,,,,,,,,,,
MT FRESH YOGHURT  500ML,,,,,,,,,,,,,,,,,,,,,
MT FRESH YOGHURT 250ML,,,,,,,,,,,,,,,,,,,,,
MT KENYA MILK 300ML,,,,,,,,,,,,,,,,,,,,,
MT KENYA MILK 500ML,,,,,,,,,,,,,,,,,,,,,
PLASTIC SODA  2LTRS*,,,,,,,,,,,,,,,,,,,,,
PLASTIC SODA 1.25LTRs,,,,,,,,,,,,,,,,,,,,,
PLASTIC SODA  500ML,,,,,,,,,,,,,,,,,,,,,
PLASTIC SODA  350ML,,,,,,,,,,,,,,,,,,,,,
NOVIDA  SODA  1 LTR,,,,,,,,,,,,,,,,,,,,,
NOVIDA  SODA 500ML,,,,,,,,,,,,,,,,,,,,,
NOVIDA  SODA 300ML,,,,,,,,,,,,,,,,,,,,,
OLIVE  SODA  1 LTR,,,,,,,,,,,,,,,,,,,,,
OLIVE  SODA 500ML,,,,,,,,,,,,,,,,,,,,,
OLIVE  SODA 300ML,,,,,,,,,,,,,,,,,,,,,
FRESH YELLOW,,,,,,,,,,,,,,,,,,,,,
CREAMY YOGHURT SMALL,,,,,,,,,,,,,,,,,,,,,
CREAMY YOGHURT BIG,,,,,,,,,,,,,,,,,,,,,
MR BERRY,,,,,,,,,,,,,,,,,,,,,
FRESH,,,,,,,,,,,,,,,,,,,,,
FAN ORANGE,,,,,,,,,,,,,,,,,,,,,
MR BOOM,,,,,,,,,,,,,,,,,,,,,
KENAFRIC,,,,,,,,,,,,,,,,,,,,,
TROPICAL 1KG,,,,,,,,,,,,,,,,,,,,,
TROPICAL 500G,,,,,,,,,,,,,,,,,,,,,
KOO,,,,,,,,,,,,,,,,,,,,,
PATCO 1KG,,,,,,,,,,,,,,,,,,,,,
PATCO 500G,,,,,,,,,,,,,,,,,,,,,
TOFFEES,,,,,,,,,,,,,,,,,,,,,
PK BLUE,,,,,,,,,,,,,,,,,,,,,
BIG DADDY,,,,,,,,,,,,,,,,,,,,,
TICTAC 170G,,,,,,,,,,,,,,,,,,,,,
DOUBLE MINT,,,,,,,,,,,,,,,,,,,,,
BIG G,,,,,,,,,,,,,,,,,,,,,
CEST BON,,,,,,,,,,,,,,,,,,,,,
WORLDCUP SWEETS,,,,,,,,,,,,,,,,,,,,,
MINT CHEWING GUM,,,,,,,,,,,,,,,,,,,,,
ECLAIRS,,,,,,,,,,,,,,,,,,,,,
SELFIE,,,,,,,,,,,,,,,,,,,,,
TED/JERRY L/C,,,,,,,,,,,,,,,,,,,,,
JUICE DROPS,,,,,,,,,,,,,,,,,,,,,
TWIST MINT,,,,,,,,,,,,,,,,,,,,,
DR CHOCOLATE 20G,,,,,,,,,,,,,,,,,,,,,
DR CHOCOLATE 90G,,,,,,,,,,,,,,,,,,,,,
DR CHOCOLATE 125G,,,,,,,,,,,,,,,,,,,,,
COCO 20G,,,,,,,,,,,,,,,,,,,,,
COCOA 90G Jar,,,,,,,,,,,,,,,,,,,,,
RAHA 10G,,,,,,,,,,,,,,,,,,,,,
RAHA 20G,,,,,,,,,,,,,,,,,,,,,
RAHA 100G,,,,,,,,,,,,,,,,,,,,,
RAHA 100G,,,,,,,,,,,,,,,,,,,,,
KETEPA  5G,,,,,,,,,,,,,,,,,,,,,
KETEPA  15G,,,,,,,,,,,,,,,,,,,,,
KETEPA  50G,,,,,,,,,,,,,,,,,,,,,
KETEPA  100G,,,,,,,,,,,,,,,,,,,,,
HOME COMFORTS TEA 500G,,,,,,,,,,,,,,,,,,,,,
HOME COMFORTS TEA 250G,,,,,,,,,,,,,,,,,,,,,
HOME COMFORTS TEA 100G,,,,,,,,,,,,,,,,,,,,,
HOME COMFORT TEA 50G,,,,,,,,,,,,,,,,,,,,,
HOME COMFORT TEA 15G,,,,,,,,,,,,,,,,,,,,,
MARAMBA TEA 15G,,,,,,,,,,,,,,,,,,,,,
MARAMBA TEA 25G,,,,,,,,,,,,,,,,,,,,,
MARAMBA TEA 50G,,,,,,,,,,,,,,,,,,,,,
TANGAWIZI CHAI 25,,,,,,,,,,,,,,,,,,,,,
BARAKA CHAI 15G,,,,,,,,,,,,,,,,,,,,,
BARAKA CHAI 50G,,,,,,,,,,,,,,,,,,,,,
BARAKA CHAI 100G,,,,,,,,,,,,,,,,,,,,,
NESCAFE  1.6G,,,,,,,,,,,,,,,,,,,,,
NESCAFE 50G,,,,,,,,,,,,,,,,,,,,,
KAHAWA NO.1  34G,,,,,,,,,,,,,,,,,,,,,
COLGATE 10ML,,,,,,,,,,,,,,,,,,,,,
COLGATE  25ML,,,,,,,,,,,,,,,,,,,,,
COLGATE  50ML,,,,,,,,,,,,,,,,,,,,,
COLGATE  100ML,,,,,,,,,,,,,,,,,,,,,
COLGATE HERBAL 50ML,,,,,,,,,,,,,,,,,,,,,
COLGATE HERBAL  25ML,,,,,,,,,,,,,,,,,,,,,
CLOSE UP  60ML,,,,,,,,,,,,,,,,,,,,,
COLGATE TOOTHBRUSH,,,,,,,,,,,,,,,,,,,,,
ORAL MAX TOOTHBRUSH,,,,,,,,,,,,,,,,,,,,,
TOOTHPICK,,,,,,,,,,,,,,,,,,,,,
KNORR CUBE,,,,,,,,,,,,,,,,,,,,,
ROYCO CUBE,,,,,,,,,,,,,,,,,,,,,
ROYCO CHICKEN  12G,,,,,,,,,,,,,,,,,,,,,
ROYCO BEEF  12G,,,,,,,,,,,,,,,,,,,,,
KEN TOMATO SAUCE  400G,,,,,,,,,,,,,,,,,,,,,
OYO MCHUZI MIX 12G,,,,,,,,,,,,,,,,,,,,,
